RFDI,id,DPDD,DpRVIVV,VH,VV,B11,B11_contrast,B11_corr,B11_diss,B11_ent,B11_var,B12,B2,B3,B4,B8,EVI,GCI,MSAVI,NDMI,NDVI,SAVI,Slope,elevation,fhd_normal,N_efectivo_estratos,month,time,year,lon,lat
0.1478046489786335,37,0.1814895725316861,0.6865597713046597,0.0440539684835317,0.2126110464200743,1402.5,968091625000.0,0.5846452502138691,621104.5454545455,4.770975363485693,1168220977035.1328,604.0,169.0,298.0,155.5,2557.0,0.5385460355502297,7.580536912751677,0.45439867242244,0.2915772199630737,0.8853456377983093,0.5051201998126756,0.9275864362716676,369,3.106986,8.615807400822202,8,2019-08-01 08:00:00,2019,-77.47617908031943,-1.1178643602878964
0.1984577487415658,38,0.089690454263551,0.9052874667792562,0.0287069952851682,0.0981344615497494,1550.0,883577653409.0908,0.5344797933675076,610385.2272727273,4.770975363485695,945705281088.5468,694.5,239.0,465.5,227.5,3655.0,0.6107341147439853,6.851772287862513,0.6133289271149447,0.4044188261032104,0.8828074932098389,0.5510843094050795,1.3115659952163696,369,3.319075,9.980243395144356,8,2019-08-01 08:00:00,2019,-77.47617908031943,-1.118133854873129
-0.0485155684286748,39,0.2293521986652371,0.5039650765327126,0.0408656448462126,0.2834873450662541,1488.5,967957664772.7272,0.7023645819485873,645921.5909090908,4.708394546641099,1620840923459.4844,622.5,227.5,385.5,200.0,2882.5,0.5813953488372091,6.477302204928664,0.4969802581798102,0.3189201653003692,0.8702352046966553,0.5284857571214392,7.435666084289551,371,3.352817,10.216414080782508,8,2019-08-01 08:00:00,2019,-77.47590958573419,-1.1186728440436011
0.1304198407698035,40,0.1456031989603805,0.9090693016815928,0.0467975282953054,0.1591164903993729,1104.5,759385789772.7272,0.5855954375943773,524107.9545454546,4.770975363485693,911713169694.0548,504.5,164.0,239.0,152.0,1854.5,0.4182014479867902,6.759414225941423,0.3258089254548363,0.253464013338089,0.8484923839569092,0.4070677931176592,3.340522050857544,373,3.316862,9.964946088914505,8,2019-08-01 08:00:00,2019,-77.47537059656372,-1.118942338628841
0.2699773128308546,41,0.2280917367571379,0.5773143021523289,0.0465561303243675,0.2760142972628107,1411.0,610849375000.0,0.6100409047403974,456927.2727272727,4.739854807634778,780489901451.5078,599.0,211.0,419.0,185.0,2986.0,0.5799264589593547,6.126491646778042,0.5201005206468061,0.3581987619400024,0.8833175897598267,0.5299271391581862,1.3115663528442385,372,3.193762,9.149938204696038,8,2019-08-01 08:00:00,2019,-77.47510110197848,-1.1194813277993134
0.2320009704615757,42,0.0925566258771148,0.6991467870308404,0.0228786759376758,0.1080161596652325,1276.5,321513102272.72723,0.5518288104225104,370602.2727272727,4.712734415970383,361608757851.2656,498.5,183.0,286.5,143.5,2190.0,0.5052189040301537,6.643979057591624,0.3908826429461556,0.2635222971439361,0.8770087957382202,0.4735973597359735,1.3115664720535278,373,3.074546,8.424236857317014,8,2019-08-01 08:00:00,2019,-77.47483160739324,-1.1200203169697858
0.3055061356689932,43,0.1997339880927456,0.8220416113865406,0.0580498072529106,0.2244167075747164,1350.5,760431284090.9092,0.5249795555714681,544015.9090909091,4.747975479767113,799425670092.9922,604.5,227.5,377.5,209.5,2406.5,0.50628127872536,5.3748344370860925,0.4102526293990824,0.2810753285884857,0.8398318290710449,0.4707502374169041,4.141257762908936,364,3.161736,8.949059062468741,8,2019-08-01 08:00:00,2019,-77.47483160739324,-1.1062760931227515
0.1186100902104911,44,0.286228678631254,0.7250796940547733,0.0733759766747659,0.3314125025856836,1362.0,439167153409.0909,0.6119865239526003,411789.7727272727,4.770975363485695,569143340670.2031,583.5,203.5,380.5,188.5,2825.5,0.5358109869832929,6.4257555847569,0.4910289844625263,0.3494925498962402,0.8749170303344727,0.4978878051810896,4.141273021697998,376,3.265815,9.61852050778229,8,2019-08-01 08:00:00,2019,-77.474562112808,-1.1202898115550184
0.4071784646061814,45,0.1856394298243687,0.7240562555676973,0.0475223099327391,0.2150114894360915,1465.0,889890096590.909,0.5242479327517132,605271.5909090909,4.770975363485694,940932458872.5938,618.0,189.5,357.5,156.5,3206.0,0.5820661763248152,7.967832167832169,0.5686389712673803,0.3727253377437591,0.906914472579956,0.5338828948963512,3.340517997741699,365,2.638215,6.2256091249483205,8,2019-08-01 08:00:00,2019,-77.474562112808,-1.1065455877079913
0.2711177968062948,46,0.236834561704273,0.6782129344904594,0.0567892528242637,0.2781453963766068,1472.5,623649443181.8181,0.7522481270654111,483895.4545454545,4.770975363485693,1269164942572.2578,625.0,216.0,367.5,207.0,2982.5,0.5484850891474408,7.115646258503402,0.5117136803125999,0.3389450013637543,0.8701990842819214,0.5067877453678225,9.374112129211426,402,3.278397,9.702772188489464,8,2019-08-01 08:00:00,2019,-77.47429261822278,-1.1299916166235064
0.3225339890078102,47,0.2047543573966475,0.8631497453822958,0.0624847887741464,0.2270816004111804,1541.5,930788948863.6364,0.6170458124128174,624614.7727272727,4.770975363485693,1211254353753.789,647.5,206.0,405.0,182.5,3128.5,0.5869402838385029,6.724691358024692,0.5454081885717941,0.3398286998271942,0.8897613883018494,0.5363429529397677,2.0731070041656494,374,3.226708,9.361294223667777,8,2019-08-01 08:00:00,2019,-77.47429261822278,-1.1208288007254907
